field,count,missing,mean,std,min,p1,p5,p25,p50,p75,p95,p99,p99.5,max
price,112650,0,120.65373901464713,183.633928050254,0.85,9.99,17.0,39.9,74.99,134.9,349.9,890.0,1218.082650000056,6735.0
freight_value,112650,0,19.990319928983578,15.806405412296852,0.0,4.4198,7.78,13.08,16.26,21.15,45.12,84.52,106.2251000000001,409.68
freight_to_price_ratio,112650,0,0.3208635490797801,0.3498936787366252,0.0,0.023360624766847762,0.0535405872193436,0.13403366121952504,0.2313562382646001,0.3930362116991643,0.874702380952381,1.5494505494505493,1.9710740384615475,26.23529411764706
product_weight_g,112632,18,2093.672047020385,3751.596883513898,0.0,75.0,125.0,300.0,700.0,1800.0,9750.0,18250.0,22900.0,40425.0
product_volume_cm3,112632,18,15243.70956744087,23418.52468585695,168.0,352.0,816.0,2851.5,6480.0,18375.0,57731.849999999904,112284.12000000011,139277.0,296208.0
estimated_delivery_days,112650,0,23.835035496703984,8.887305532984824,2.0080092592592593,6.098047916666667,10.500451388888887,18.370034722222226,23.25587962962963,28.471458333333334,38.595633680555544,51.06112372685184,55.51367239583342,155.13546296296298
