order_status,exposures,unique_orders,freight_median,freight_mean,freight_to_price_ratio_median,estimated_delivery_days_median,exposure_share
delivered,110197,96478,16.26,19.948597874715283,0.2318318318318318,23.245925925925928,0.9782245894363072
shipped,1185,1106,17.63,22.280084388185657,0.236235294117647,24.500949074074075,0.01051930758988016
canceled,542,461,15.105,19.650276752767528,0.1909444629660499,20.58934027777778,0.004811362627607634
invoiced,359,312,15.15,20.78657381615599,0.1779779779779779,23.10071759259259,0.0031868619618286727
processing,357,301,16.55,25.083725490196077,0.1883064516129032,26.547291666666663,0.0031691078561917442
unavailable,7,6,20.85,18.97142857142857,0.0921212121212121,54.276747685185185,6.213936972924988e-05
approved,3,2,10.96,10.493333333333334,0.5521410579345088,22.153969907407408,2.663115845539281e-05
